client_id,Variation,completed,has_start,not_completed,step_back_count
9988021,Test,False,True,True,2
8320017,Test,True,True,False,0
4033851,Control,True,True,False,3
1982004,Test,True,True,False,0
9294070,Control,False,True,True,0
9466803,Test,False,True,True,2
3170143,Test,True,True,False,0
6651403,Control,True,True,False,4
5887227,Test,True,True,False,0
2105948,Control,True,True,False,1
438567,Test,True,True,False,4
2519971,Test,True,True,False,3
9814849,Control,True,True,False,0
5407849,Test,True,True,False,1
7286739,Control,True,True,False,2
4446011,Control,True,True,False,0
5308474,Test,True,True,False,2
2991219,Test,True,True,False,0
2354414,Test,True,True,False,0
949210,Test,True,True,False,0
4229407,Control,True,True,False,0
9987707,Test,True,True,False,1
2709011,Test,True,True,False,2
4507502,Test,True,True,False,0
2842481,Control,False,True,True,0
2317698,Test,True,True,False,0
3013805,Test,True,True,False,2
1218661,Control,False,True,True,0
2965703,Test,True,True,False,0
1712929,Control,True,True,False,0
2328234,Test,True,True,False,0
800925,Control,False,True,True,0
6685654,Test,True,True,False,0
8766054,Test,False,True,True,1
4726500,Test,True,True,False,0
9504867,Test,False,True,True,0
1242238,Control,False,True,True,0
7800773,Test,False,True,True,1
9477476,Control,False,True,True,0
1338778,Control,True,True,False,2
6584990,Control,True,True,False,0
7859827,Test,False,True,True,1
7407692,Test,False,True,True,0
7040762,Control,False,True,True,0
9900469,Test,False,True,True,0
5169372,Control,True,True,False,0
5267250,Control,False,True,True,0
2079440,Test,True,True,False,1
5376894,Test,False,True,True,0
3751049,Control,True,True,False,0
8240010,Test,False,True,True,0
6110816,Test,True,True,False,1
2550129,Test,True,True,False,1
9912156,Control,True,True,False,0
7690370,Test,True,True,False,0
9885354,Test,True,True,False,1
1962381,Test,False,True,True,1
229701,Control,True,True,False,0
2818303,Control,True,True,False,1
6229916,Test,True,True,False,0
9358626,Control,True,True,False,0
4773291,Control,False,True,True,0
4953263,Control,False,True,True,0
522661,Test,True,True,False,0
3754789,Control,True,True,False,0
3066535,Control,False,True,True,0
9545426,Control,False,True,True,0
4778144,Control,True,True,False,1
2000786,Control,False,True,True,0
1532932,Test,True,True,False,0
9096386,Test,False,True,True,2
6986475,Control,True,True,False,1
7996704,Control,True,True,False,0
2211277,Test,True,True,False,0
9268841,Test,False,True,True,0
4213800,Control,False,True,True,0
1763518,Control,True,True,False,0
7485024,Test,False,True,True,1
2437471,Control,True,True,False,1
1628554,Test,True,True,False,0
9744906,Test,False,True,True,0
7289266,Control,False,True,True,0
3883711,Test,False,True,True,0
8123801,Test,False,True,True,0
598943,Control,True,True,False,0
8491121,Test,True,True,False,0
8861901,Control,True,True,False,0
6853744,Control,False,True,True,0
1404893,Control,False,True,True,0
768936,Test,True,True,False,0
5408845,Test,False,True,True,1
9336495,Control,False,True,True,2
4744361,Control,False,True,True,1
2397739,Test,True,True,False,0
2136502,Test,True,True,False,1
7501437,Test,False,True,True,1
9628154,Control,False,True,True,1
9293919,Control,False,True,True,0
5318449,Test,True,True,False,0
5022038,Test,True,True,False,0
2565373,Control,True,True,False,1
5745157,Test,True,True,False,0
6653427,Test,True,True,False,1
6071019,Control,True,True,False,1
632316,Test,True,True,False,0
1152171,Test,True,True,False,0
8188670,Control,True,True,False,1
1021747,Test,False,True,True,0
226198,Test,True,True,False,1
6216233,Control,False,True,True,0
1846219,Test,True,True,False,0
2093449,Test,True,True,False,1
7902892,Test,True,True,False,0
722917,Test,True,True,False,0
4747144,Control,True,True,False,0
2199722,Test,True,True,False,1
2235331,Test,False,True,True,0
8313694,Control,False,True,True,0
2382696,Test,True,True,False,2
2679453,Control,True,True,False,0
7276973,Control,False,True,True,0
4532572,Test,True,True,False,0
8771952,Test,True,True,False,0
5256566,Control,True,True,False,0
1342790,Control,False,True,True,6
9775174,Test,False,True,True,1
3703187,Test,False,True,True,0
2769120,Control,False,True,True,0
6031726,Test,True,True,False,0
8870709,Control,True,True,False,0
2145511,Control,True,True,False,0
461846,Control,True,True,False,3
4878112,Control,True,True,False,4
843249,Test,False,True,True,0
5018154,Test,True,True,False,0
9414396,Control,False,True,True,0
6650565,Control,True,True,False,1
2062199,Control,False,True,True,0
6682559,Test,True,True,False,0
9516496,Test,False,True,True,2
3382939,Test,False,True,True,0
7833565,Test,True,True,False,0
9448266,Test,False,True,True,1
2406356,Test,False,True,True,2
7112284,Control,False,True,True,0
6141432,Control,True,True,False,0
2015197,Control,True,True,False,5
5429577,Control,True,True,False,1
1636347,Control,False,True,True,0
4577314,Control,True,True,False,0
3068817,Test,False,True,True,1
2358419,Test,True,True,False,0
6283739,Control,False,True,True,0
8289357,Test,True,True,False,0
1423857,Control,True,True,False,1
117916,Test,True,True,False,0
2810561,Test,True,False,False,0
2040881,Control,True,True,False,1
6547909,Control,True,True,False,2
9774553,Test,True,True,False,0
203702,Control,False,True,True,0
2336869,Control,True,True,False,0
3638107,Control,True,True,False,0
391025,Control,True,True,False,0
6954534,Test,True,True,False,0
7636277,Control,True,True,False,0
8100455,Test,True,True,False,0
3548541,Test,True,True,False,0
2050360,Test,True,True,False,0
8675285,Test,True,True,False,1
868124,Control,True,True,False,0
8241574,Test,False,True,True,0
559169,Control,False,True,True,0
2276090,Control,True,True,False,1
1095432,Test,True,True,False,1
3036660,Control,True,True,False,0
5546524,Control,False,True,True,0
3544855,Test,True,True,False,0
7474517,Control,True,True,False,1
7212234,Test,True,True,False,0
9207047,Test,True,True,False,1
452583,Control,True,True,False,0
7762269,Test,True,True,False,1
7599262,Test,False,True,True,0
945176,Control,False,True,True,0
7690452,Test,True,True,False,0
5537612,Test,True,True,False,0
4256611,Test,True,True,False,0
2889049,Control,True,True,False,6
137412,Test,True,True,False,0
171492,Test,True,True,False,0
668996,Control,False,True,True,0
8076294,Control,True,True,False,0
8893466,Test,False,True,True,0
4727155,Test,False,True,True,1
4493573,Test,True,True,False,3
2797397,Control,True,True,False,0
6480779,Control,False,True,True,0
257840,Test,True,True,False,0
7340414,Control,True,True,False,0
5221768,Test,True,True,False,0
2306578,Test,True,True,False,0
9700346,Test,False,True,True,5
192518,Test,True,True,False,0
5163125,Control,False,True,True,0
5821983,Control,False,True,True,1
1884538,Control,True,True,False,0
902895,Test,False,True,True,1
841242,Control,True,True,False,0
872142,Control,False,True,True,0
3480918,Test,True,True,False,0
8203999,Test,True,True,False,1
617840,Control,True,True,False,0
1929698,Control,True,True,False,0
8963925,Test,True,True,False,0
7758940,Test,True,True,False,0
8319726,Test,True,True,False,0
298590,Test,False,True,True,1
2856502,Test,True,True,False,0
6930182,Test,True,True,False,1
965266,Control,False,True,True,0
2465098,Test,True,True,False,3
1667380,Test,False,True,True,0
8701900,Test,False,True,True,0
5133382,Test,True,True,False,0
913704,Test,False,True,True,1
1519456,Test,False,True,True,0
8424645,Control,True,True,False,0
7284366,Test,False,True,True,0
1933359,Test,True,True,False,1
4506445,Test,True,True,False,0
8366788,Test,True,True,False,0
7214811,Test,False,True,True,1
6819326,Control,False,True,True,1
2475049,Control,False,True,True,0
6394423,Test,False,True,True,0
3081313,Control,True,True,False,0
9292160,Test,True,True,False,1
493311,Control,True,True,False,0
4470019,Test,False,True,True,2
6442081,Test,True,True,False,0
8416851,Control,False,True,True,2
1938076,Test,True,True,False,1
1907109,Test,False,True,True,0
2852997,Control,True,True,False,1
7979476,Test,False,True,True,4
5255030,Test,True,True,False,0
3633784,Test,True,True,False,1
7161996,Test,True,True,False,0
9707270,Control,False,True,True,0
4772716,Control,False,True,True,0
9888375,Control,True,True,False,0
1161478,Test,True,True,False,0
7669299,Test,True,True,False,0
3827180,Control,True,True,False,0
1970830,Control,True,True,False,0
1640688,Control,False,True,True,0
676552,Test,False,True,True,0
3399501,Test,True,True,False,0
3543788,Test,True,True,False,1
7902599,Test,True,True,False,0
8068308,Control,False,True,True,0
4638153,Control,False,True,True,1
1788838,Control,True,True,False,1
693101,Test,True,True,False,0
6520285,Test,True,True,False,0
9997114,Control,True,True,False,0
3286605,Control,False,True,True,0
1751757,Test,True,True,False,1
1064690,Control,True,True,False,0
2038707,Control,True,True,False,0
297472,Control,True,True,False,0
2160702,Control,False,True,True,1
2289897,Control,True,True,False,0
4657902,Test,False,True,True,8
6960009,Control,True,True,False,0
6665317,Test,False,True,True,0
2057773,Control,True,True,False,0
7523181,Control,False,True,True,1
5324253,Test,True,True,False,1
860745,Control,True,True,False,1
5340072,Test,True,True,False,1
5226626,Test,True,True,False,1
4520186,Test,False,True,True,2
219230,Control,False,True,True,2
3369137,Control,True,True,False,1
7479054,Control,True,True,False,0
4244891,Test,False,True,True,1
4384098,Control,True,True,False,1
7582150,Control,True,True,False,0
8308363,Test,True,True,False,0
8165914,Test,True,True,False,0
3520993,Control,False,True,True,0
5645966,Control,True,False,False,2
9378146,Control,True,True,False,0
148369,Test,True,True,False,0
5192659,Test,True,True,False,1
7007069,Control,True,True,False,0
127921,Test,True,True,False,0
3310785,Control,False,True,True,0
7423412,Control,False,True,True,0
8279228,Test,True,True,False,1
588240,Control,True,True,False,1
7699381,Control,True,True,False,1
7046133,Control,True,True,False,2
9364005,Test,True,True,False,0
5459195,Test,True,True,False,1
6442655,Test,True,True,False,0
7449461,Test,False,True,True,0
4963381,Test,False,True,True,0
6456062,Control,True,True,False,0
4823947,Control,False,True,True,1
8860992,Control,False,True,True,0
530654,Control,False,True,True,0
3347759,Control,False,True,True,1
7873338,Control,True,True,False,0
169185,Test,True,True,False,0
6980919,Test,False,True,True,0
6519269,Test,False,True,True,4
1638971,Test,False,True,True,0
7984549,Test,True,True,False,1
4137841,Test,False,True,True,0
459221,Test,False,True,True,1
3430793,Test,True,True,False,1
4853470,Test,True,True,False,0
8696517,Control,False,True,True,1
5751565,Test,True,True,False,0
3968370,Control,False,True,True,1
1718250,Test,True,True,False,1
6058534,Test,True,True,False,1
6597561,Control,True,True,False,0
6098661,Test,True,True,False,0
8861365,Test,False,True,True,1
2346575,Test,True,True,False,2
7973780,Control,True,True,False,0
5119497,Control,True,True,False,0
2532775,Test,True,True,False,2
3155140,Control,True,True,False,0
924852,Test,True,True,False,0
8330343,Test,True,True,False,0
8607482,Test,False,True,True,2
4827059,Control,True,True,False,1
4785260,Test,True,True,False,2
4778491,Test,True,True,False,0
7200160,Test,True,True,False,0
304982,Control,False,True,True,0
7177069,Test,True,True,False,0
9059531,Control,True,True,False,0
3130496,Test,False,True,True,0
7705990,Test,True,True,False,0
133101,Control,False,True,True,0
2790745,Test,True,True,False,1
2498676,Test,False,True,True,0
8988721,Control,True,True,False,1
6224299,Control,True,True,False,0
3217890,Control,True,True,False,1
9403921,Control,True,True,False,1
2356366,Control,False,True,True,0
453167,Control,True,True,False,1
372523,Control,True,True,False,1
2611324,Test,False,True,True,0
8766886,Test,False,True,True,0
3106431,Test,False,True,True,0
5615453,Test,False,True,True,1
7087847,Control,True,True,False,0
8760103,Test,True,True,False,3
5786954,Test,True,True,False,0
3175977,Test,False,True,True,0
5124813,Test,True,True,False,1
7221996,Test,False,True,True,5
7422759,Control,False,True,True,0
8609229,Test,True,True,False,3
9176963,Test,True,True,False,0
589292,Test,True,True,False,0
5417457,Control,True,True,False,0
863704,Control,False,True,True,0
117276,Test,True,True,False,0
7441896,Control,True,True,False,0
7763445,Test,True,True,False,1
7359292,Test,False,True,True,0
4101033,Control,True,True,False,0
1180583,Control,True,True,False,2
246429,Test,True,True,False,2
395074,Test,True,True,False,1
6006542,Test,True,True,False,0
1424799,Test,True,True,False,0
4251309,Test,True,True,False,0
5026927,Test,True,True,False,1
8512093,Test,True,True,False,5
8959766,Test,False,True,True,0
413157,Control,True,True,False,1
7448926,Control,True,True,False,0
806192,Test,True,False,False,0
1542033,Test,True,True,False,5
3432043,Test,True,True,False,0
1406408,Test,True,True,False,1
4694039,Test,False,True,True,1
2155192,Test,True,True,False,0
2657900,Control,True,True,False,0
4514754,Control,True,True,False,0
1673947,Control,False,True,True,0
4961256,Test,True,True,False,0
3413971,Control,True,True,False,0
2323637,Test,False,True,True,0
1209140,Test,True,True,False,0
85097,Control,False,True,True,1
2262795,Control,True,True,False,0
4501407,Test,True,True,False,0
5593703,Test,True,True,False,1
1461831,Test,True,True,False,0
5867403,Test,True,True,False,0
8825647,Control,True,True,False,1
2314843,Test,True,True,False,0
219207,Test,False,True,True,0
3535465,Test,True,True,False,0
4878070,Test,True,True,False,0
7337058,Control,False,True,True,0
3498908,Control,True,True,False,1
77276,Test,True,True,False,0
4630285,Control,True,True,False,0
5667617,Test,True,True,False,0
8184247,Control,True,True,False,1
7787684,Control,True,True,False,0
4247007,Control,False,True,True,1
7644707,Test,True,True,False,0
